ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance_Score
2,Student_2,9.6,61,60.0,D,Pass,63.8
8,Student_8,8.8,70,67.9,D,Pass,70.33
12,Student_12,9.7,65,50.5,F,Pass,58.05
26,Student_26,8.1,59,99.5,A,Pass,89.55
34,Student_34,9.5,56,47.7,F,Pass,54.09
35,Student_35,9.7,63,89.6,B,Pass,85.02
36,Student_36,8.3,64,86.9,B,Pass,81.93
44,Student_44,9.2,78,73.2,C,Pass,76.04
51,Student_51,9.7,91,69.8,D,Pass,76.76
53,Student_53,9.5,66,91.1,A,Pass,86.47
54,Student_54,9.1,63,52.5,F,Pass,58.45
56,Student_56,9.3,73,47.0,F,Pass,56.8
63,Student_63,8.5,92,58.3,F,Pass,67.71
68,Student_68,8.2,88,60.8,D,Pass,68.36
70,Student_70,9.9,98,78.5,C,Pass,84.45
74,Student_74,8.3,74,95.4,A,Pass,89.88
81,Student_81,8.8,93,48.8,F,Pass,61.56
89,Student_89,9.0,67,65.9,D,Pass,68.53
105,Student_105,9.2,88,81.7,B,Pass,83.99
113,Student_113,9.4,63,43.7,F,Pass,52.59
114,Student_114,8.3,79,70.6,C,Pass,73.52
116,Student_116,8.8,53,88.8,B,Pass,81.56
117,Student_117,8.2,67,76.9,C,Pass,75.43
119,Student_119,9.0,74,77.4,C,Pass,77.98
121,Student_121,8.3,50,65.6,D,Pass,64.22
122,Student_122,9.1,95,47.8,F,Pass,61.56
127,Student_127,8.4,73,64.8,D,Pass,68.36
128,Student_128,8.7,53,89.7,B,Pass,82.09
135,Student_135,9.5,95,55.6,F,Pass,67.42
140,Student_140,9.7,74,40.7,F,Pass,52.99
151,Student_151,9.2,83,69.3,D,Pass,74.31
155,Student_155,9.9,52,68.6,D,Pass,68.32
166,Student_166,8.5,91,55.3,F,Pass,65.41
179,Student_179,9.4,58,84.2,B,Pass,79.94
183,Student_183,9.3,83,45.1,F,Pass,57.47
184,Student_184,8.9,60,83.0,B,Pass,79.0
187,Student_187,8.4,77,40.7,F,Pass,52.29
192,Student_192,9.1,83,61.0,D,Pass,68.4
193,Student_193,9.1,61,86.5,B,Pass,81.85
199,Student_199,9.0,54,85.9,B,Pass,79.93
204,Student_204,9.1,87,57.7,F,Pass,66.89
220,Student_220,8.6,94,74.9,C,Pass,79.83
227,Student_227,9.8,89,53.5,F,Pass,65.05
229,Student_229,9.0,62,65.9,D,Pass,67.53
231,Student_231,8.2,82,76.8,C,Pass,78.36
241,Student_241,9.5,62,90.8,A,Pass,85.46
242,Student_242,9.6,92,95.1,A,Pass,94.57
243,Student_243,9.2,94,55.1,F,Pass,66.57
246,Student_246,9.4,85,90.5,A,Pass,89.75
248,Student_248,9.7,87,86.6,B,Pass,87.72
249,Student_249,9.7,56,79.4,C,Pass,76.48
250,Student_250,8.7,54,50.6,F,Pass,54.92
