ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance_Score
2,Student_2,9.6,61,60.0,D,Pass,63.8
3,Student_3,7.6,65,80.2,B,Pass,76.74
4,Student_4,6.4,73,99.6,A,Pass,90.72
5,Student_5,2.4,68,79.7,C,Pass,71.79
6,Student_6,2.4,57,73.5,C,Pass,65.25
8,Student_8,8.8,70,67.9,D,Pass,70.33
9,Student_9,6.4,66,43.6,F,Pass,50.12
10,Student_10,7.4,72,73.7,C,Pass,73.39
12,Student_12,9.7,65,50.5,F,Pass,58.05
14,Student_14,2.9,57,52.1,F,Pass,50.77
15,Student_15,2.6,74,72.1,C,Pass,67.87
16,Student_16,2.7,67,45.8,F,Pass,48.16
17,Student_17,3.7,74,67.0,D,Pass,65.4
18,Student_18,5.7,61,85.4,B,Pass,77.68
19,Student_19,4.9,64,60.9,D,Pass,60.33
26,Student_26,8.1,59,99.5,A,Pass,89.55
27,Student_27,2.8,65,95.6,A,Pass,82.72
28,Student_28,5.6,56,72.4,C,Pass,67.48
29,Student_29,6.3,66,90.5,A,Pass,82.85
30,Student_30,1.4,72,71.3,C,Pass,65.71
32,Student_32,2.5,70,45.3,F,Pass,48.21
33,Student_33,1.6,71,85.3,B,Pass,75.51
34,Student_34,9.5,56,47.7,F,Pass,54.09
35,Student_35,9.7,63,89.6,B,Pass,85.02
36,Student_36,8.3,64,86.9,B,Pass,81.93
37,Student_37,3.7,56,82.5,B,Pass,72.65
38,Student_38,1.9,58,42.2,F,Pass,43.04
41,Student_41,2.1,57,61.6,D,Pass,56.62
43,Student_43,1.3,72,96.2,A,Pass,83.04
45,Student_45,3.3,67,58.3,F,Pass,57.51
50,Student_50,2.7,67,95.2,A,Pass,82.74
53,Student_53,9.5,66,91.1,A,Pass,86.47
54,Student_54,9.1,63,52.5,F,Pass,58.45
56,Student_56,9.3,73,47.0,F,Pass,56.8
61,Student_61,4.5,52,88.4,B,Pass,76.78
66,Student_66,5.9,72,50.4,F,Pass,55.58
69,Student_69,1.7,64,98.5,A,Pass,83.45
71,Student_71,8.0,53,89.3,B,Pass,81.11
73,Student_73,1.0,71,91.7,A,Pass,79.39
74,Student_74,8.3,74,95.4,A,Pass,89.88
75,Student_75,7.4,62,69.2,D,Pass,68.24
76,Student_76,7.6,67,76.4,C,Pass,74.48
78,Student_78,1.7,65,50.5,F,Pass,50.05
82,Student_82,6.6,51,62.1,D,Pass,60.27
87,Student_87,7.6,62,73.0,C,Pass,71.1
88,Student_88,6.7,62,97.9,A,Pass,87.63
89,Student_89,9.0,67,65.9,D,Pass,68.53
99,Student_99,1.2,65,43.7,F,Pass,44.79
102,Student_102,6.7,59,43.5,F,Pass,48.95
104,Student_104,5.6,74,43.5,F,Pass,50.85
106,Student_106,3.2,69,99.0,A,Pass,86.3
107,Student_107,4.7,54,54.4,F,Pass,53.58
108,Student_108,7.8,50,48.5,F,Pass,51.75
111,Student_111,3.6,52,46.1,F,Pass,46.27
113,Student_113,9.4,63,43.7,F,Pass,52.59
116,Student_116,8.8,53,88.8,B,Pass,81.56
117,Student_117,8.2,67,76.9,C,Pass,75.43
119,Student_119,9.0,74,77.4,C,Pass,77.98
121,Student_121,8.3,50,65.6,D,Pass,64.22
123,Student_123,3.9,64,93.2,A,Pass,81.94
124,Student_124,2.0,58,67.0,D,Pass,60.5
125,Student_125,3.1,64,51.7,F,Pass,52.09
127,Student_127,8.4,73,64.8,D,Pass,68.36
128,Student_128,8.7,53,89.7,B,Pass,82.09
129,Student_129,1.1,61,84.0,B,Pass,72.1
133,Student_133,2.1,55,68.9,D,Pass,61.33
136,Student_136,3.9,73,85.6,B,Pass,78.42
138,Student_138,7.3,62,72.1,C,Pass,70.17
140,Student_140,9.7,74,40.7,F,Pass,52.99
142,Student_142,3.3,53,98.6,A,Pass,82.92
143,Student_143,5.5,57,88.1,B,Pass,78.57
144,Student_144,3.7,69,97.6,A,Pass,85.82
149,Student_149,1.5,59,90.7,A,Pass,76.79
155,Student_155,9.9,52,68.6,D,Pass,68.32
156,Student_156,3.2,55,62.6,D,Pass,58.02
158,Student_158,7.9,54,67.6,D,Pass,66.02
160,Student_160,7.6,72,93.5,A,Pass,87.45
162,Student_162,6.7,58,87.2,B,Pass,79.34
164,Student_164,5.8,69,81.3,B,Pass,76.51
169,Student_169,1.4,67,94.1,A,Pass,80.67
170,Student_170,6.3,66,67.7,D,Pass,66.89
171,Student_171,7.1,73,78.2,C,Pass,76.44
172,Student_172,1.1,52,79.6,C,Pass,67.22
176,Student_176,2.6,62,44.0,F,Pass,45.8
178,Student_178,4.5,74,49.0,F,Pass,53.6
179,Student_179,9.4,58,84.2,B,Pass,79.94
180,Student_180,2.2,53,70.7,C,Pass,62.29
181,Student_181,4.1,63,80.8,B,Pass,73.26
184,Student_184,8.9,60,83.0,B,Pass,79.0
186,Student_186,6.9,52,44.3,F,Pass,48.31
189,Student_189,5.8,58,84.3,B,Pass,76.41
190,Student_190,3.2,52,61.2,D,Pass,56.44
191,Student_191,1.8,74,57.8,F,Pass,57.06
193,Student_193,9.1,61,86.5,B,Pass,81.85
195,Student_195,4.1,58,51.1,F,Pass,51.47
196,Student_196,4.1,64,50.4,F,Pass,52.18
199,Student_199,9.0,54,85.9,B,Pass,79.93
200,Student_200,8.0,60,55.9,F,Pass,59.13
202,Student_202,1.8,73,44.9,F,Pass,47.83
203,Student_203,2.5,64,98.1,A,Pass,83.97
205,Student_205,6.5,57,86.2,B,Pass,78.24
206,Student_206,1.1,54,77.5,C,Pass,66.15
209,Student_209,1.0,67,47.3,F,Pass,47.51
210,Student_210,2.4,55,76.9,C,Pass,67.23
213,Student_213,6.9,62,71.8,C,Pass,69.56
215,Student_215,7.4,54,98.1,A,Pass,86.87
216,Student_216,3.1,62,87.9,B,Pass,77.03
217,Student_217,3.9,66,57.6,F,Pass,57.42
224,Student_224,4.3,52,47.7,F,Pass,48.09
229,Student_229,9.0,62,65.9,D,Pass,67.53
232,Student_232,5.5,55,96.6,A,Pass,84.12
233,Student_233,6.2,73,54.4,F,Pass,58.88
234,Student_234,5.4,68,47.3,F,Pass,52.11
241,Student_241,9.5,62,90.8,A,Pass,85.46
244,Student_244,4.3,74,85.3,B,Pass,78.81
249,Student_249,9.7,56,79.4,C,Pass,76.48
250,Student_250,8.7,54,50.6,F,Pass,54.92
255,Student_255,2.5,72,49.9,F,Pass,51.83
257,Student_257,9.4,59,83.6,B,Pass,79.72
263,Student_263,2.3,67,72.5,C,Pass,66.45
265,Student_265,8.9,51,70.5,C,Pass,68.45
266,Student_266,7.7,63,57.9,F,Pass,60.83
267,Student_267,7.3,62,73.9,C,Pass,71.43
269,Student_269,4.2,61,92.4,A,Pass,81.08
271,Student_271,8.3,51,85.7,B,Pass,78.49
273,Student_273,8.8,62,67.7,D,Pass,68.59
278,Student_278,6.8,66,46.0,F,Pass,52.2
282,Student_282,4.0,73,73.3,C,Pass,69.91
286,Student_286,1.3,55,61.3,D,Pass,55.21
287,Student_287,5.2,68,87.0,B,Pass,79.7
289,Student_289,3.6,56,40.3,F,Pass,43.01
290,Student_290,6.3,59,85.7,B,Pass,78.09
295,Student_295,2.1,64,62.1,D,Pass,58.37
299,Student_299,6.6,71,92.6,A,Pass,85.62
300,Student_300,1.8,53,99.8,A,Pass,82.26
301,Student_301,1.5,69,62.1,D,Pass,58.77
305,Student_305,7.5,53,75.6,C,Pass,71.02
307,Student_307,5.6,66,64.8,D,Pass,64.16
308,Student_308,3.9,61,81.7,B,Pass,73.29
309,Student_309,8.2,71,40.2,F,Pass,50.54
310,Student_310,3.4,66,77.2,C,Pass,70.64
311,Student_311,5.0,59,61.3,D,Pass,59.71
312,Student_312,1.7,50,87.7,B,Pass,73.09
313,Student_313,1.2,71,45.6,F,Pass,47.32
