ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance_Score
676,Student_676,9.8,100,68.9,D,Pass,78.03
39,Student_39,7.2,100,58.2,F,Pass,67.94
146,Student_146,1.3,100,46.6,F,Pass,53.92
442,Student_442,9.9,100,91.0,A,Pass,93.6
529,Student_529,1.5,100,72.4,C,Pass,72.18
542,Student_542,6.5,100,46.0,F,Pass,58.7
521,Student_521,6.3,100,71.6,C,Pass,76.42
563,Student_563,2.2,100,90.2,A,Pass,85.34
576,Student_576,9.5,100,87.3,B,Pass,90.61
332,Student_332,7.8,100,87.3,B,Pass,88.91
223,Student_223,1.8,100,79.4,C,Pass,77.38
844,Student_844,9.6,100,66.6,D,Pass,76.22
253,Student_253,8.7,100,96.2,A,Pass,96.04
476,Student_476,9.9,99,89.3,B,Pass,92.21
561,Student_561,7.3,99,91.3,A,Pass,91.01
493,Student_493,3.5,99,59.0,F,Pass,64.6
497,Student_497,6.3,99,99.0,A,Pass,95.4
746,Student_746,9.1,99,72.0,C,Pass,79.3
681,Student_681,8.4,99,71.0,C,Pass,77.9
686,Student_686,6.0,99,46.5,F,Pass,58.35
692,Student_692,4.8,99,95.9,A,Pass,91.73
661,Student_661,4.2,99,79.1,C,Pass,79.37
42,Student_42,5.5,99,45.3,F,Pass,57.01
703,Student_703,4.0,99,47.9,F,Pass,57.33
700,Student_700,5.3,99,69.6,D,Pass,73.82
831,Student_831,3.0,99,90.0,A,Pass,85.8
316,Student_316,7.3,99,78.5,C,Pass,82.05
927,Student_927,3.4,99,86.1,B,Pass,83.47
395,Student_395,4.1,99,86.6,B,Pass,84.52
998,Student_998,2.2,99,90.4,A,Pass,85.28
915,Student_915,6.0,99,97.4,A,Pass,93.98
168,Student_168,2.7,99,42.3,F,Pass,52.11
304,Student_304,6.7,99,93.2,A,Pass,91.74
458,Student_458,5.2,99,85.4,B,Pass,84.78
115,Student_115,6.7,99,99.8,A,Pass,96.36
720,Student_720,7.6,99,76.2,C,Pass,80.74
988,Student_988,4.9,98,77.8,C,Pass,78.96
652,Student_652,5.8,98,76.4,C,Pass,78.88
675,Student_675,4.7,98,59.9,F,Pass,66.23
70,Student_70,9.9,98,78.5,C,Pass,84.45
653,Student_653,6.3,98,77.9,C,Pass,80.43
377,Student_377,8.6,98,83.8,B,Pass,86.86
126,Student_126,4.8,98,62.1,D,Pass,67.87
154,Student_154,5.4,98,84.2,B,Pass,83.94
930,Student_930,3.3,98,90.8,A,Pass,86.46
562,Student_562,2.9,98,53.6,F,Pass,60.02
960,Student_960,7.6,98,59.3,F,Pass,68.71
110,Student_110,1.7,98,58.2,F,Pass,62.04
792,Student_792,6.3,98,80.6,B,Pass,82.32
